Image_ID,ellipse_diameter,circle_diameter,real_depth,relative_depth,number_of_pixel,Target_Diameter,Circle_Error_Metric,Circle_Error_Percent,Ellipse_Error_Metric,Ellipse_Error_Percent
10,0.03539066,0.03529239077613946,0.7563739,1.4127992,23678,0.025,0.010292390776139457,41.169563104557824,0.010390659999999996,41.56263999999999
11,0.030541364,0.0303970348058966,0.64967734,1.2634993,23808,0.025,0.005397034805896598,21.588139223586392,0.005541364,22.165456
12,0.02789077,0.026890934885739102,0.44351923,0.97502303,39980,0.025,0.0018909348857391005,7.563739542956402,0.0028907699999999974,11.563079999999989
14,0.023245035,0.023243523788279267,0.22487146,0.66907,116196,0.025,-0.0017564762117207346,-7.025904846882939,-0.0017549650000000007,-7.019860000000003
15,0.031106869,0.031146433622544708,0.40787774,0.92515,63418,0.025,0.0061464336225447065,24.585734490178826,0.006106868999999997,24.427475999999988
16,0.04162979,0.04140250608287758,0.46539706,1.0056366,86072,0.025,0.016402506082877577,65.6100243315103,0.01662979,66.51915999999999
17,0.036940303,0.035675222781721874,0.72860277,1.3739393,26074,0.025,0.010675222781721873,42.70089112688749,0.011940303,47.761212
18,0.034867994,0.03378576040476047,1.0150049,1.7747006,12050,0.025,0.008785760404760472,35.14304161904189,0.009867993999999998,39.47197599999999
19,0.028651174,0.027534463470543925,0.86024666,1.5581481,11142,0.025,0.002534463470543924,10.137853882175696,0.003651174,14.604696
20,0.027593868,0.026510682869858932,0.82475257,1.5084813,11237,0.025,0.0015106828698589307,6.042731479435723,0.002593867999999999,10.375471999999997
21,0.031742636,0.031044831537170806,0.6101649,1.2082096,28154,0.025,0.006044831537170805,24.17932614868322,0.006742635999999996,26.970543999999986
22,0.028184751,0.02708308105314896,0.35953212,0.85750014,61713,0.025,0.002083081053148958,8.332324212595832,0.0031847509999999996,12.739003999999998
9,0.03382624,0.03361167575661921,0.42403924,0.94776475,68332,0.025,0.008611675756619211,34.44670302647685,0.008826239999999999,35.304959999999994
