Image_ID,Ellipse_Diameter_m,Circle_Diameter_m,Real_Depth_m,Relative_Depth_Raw,Pixel_Count,target_diameter
1,-1.556225049,-0.834971251,-1.029174044,1.603222131729126,7158488,0.04
10,-1.71354632,-1.080368645,-1.359099853,1.843815803527832,6872221,0.04
11,-1.828765442,-1.158494571,-1.427999484,1.8450676202774048,7157936,0.04
12,-1.745435425,-1.108111366,-1.299034278,1.6679514646530151,7913735,0.04
13,0.021650569378216845,0.021523341,0.26515649334849745,0.6871230602264404,71659,0.04
14,0.04272539,0.041790602444793365,0.8432915931144267,1.2593696117401123,26709,0.04
15,0.024634904927751552,0.023817525,0.4458386627549762,1.0567951202392578,31038,0.04
16,0.029048972,0.028322707,0.2846672718621461,0.625968874,107659,0.04
17,0.039311307347272076,0.038666377,0.5370494840203957,0.838337243,56376,0.04
18,-1.315739036,-0.94387924,-1.140733161,1.6138328313827515,7445959,0.04
19,-1.425930524,-1.014996541,-1.229365236,1.6700947284698486,7413498,0.04
2,0.041053892,0.040634689,0.5952598489756402,0.9080460667610168,50680,0.04
20,-1.816450002,-1.059530264,-1.236365934,1.6217904090881348,7987090,0.04
21,-1.909864202,-1.18086206,-1.36270443,1.6756240129470825,8166781,0.04
22,-1.642709549,-1.046766237,-1.230341371,1.633894681930542,7872344,0.04
23,-1.197064118,-0.75709939,-0.928039817,1.511944294,7238165,0.04
24,-1.214514935,-0.876990602,-1.082674268,1.6354916095733643,7135923,0.04
25,-1.654792483,-0.864408323,-1.055085667,1.6014105081558228,7299924,0.04
26,-1.437868301,-0.72197591,-0.914111208,1.576789379119873,6784272,0.04
27,-1.482154892,-1.032626857,-1.289758531,1.7771649360656738,6971495,0.04
28,-1.330073709,-0.974696599,-1.187616974,1.6808651685714722,7325580,0.04
3,0.041061577,0.039938907869318065,0.46158383168823713,0.7308226227760315,81423,0.04
4,0.04405988,0.042043188,0.314354109,0.608083189,194540,0.04
5,0.040534715,0.039508056,0.6347495867627546,1.0721451044082642,42133,0.04
6,0.04108075,0.041120978,0.7168908168764464,1.2072205543518066,35783,0.04
7,-1.973378769,-1.152682558,-1.36696831,1.7374645471572876,7733186,0.04
8,-1.4564781,-0.860322323,-1.052590051,1.6060986518859863,7265404,0.04
9,-1.509242106,-0.877770634,-1.099369467,1.6811387538909912,6933151,0.04
