Image_ID,Ellipse_Diameter_m,Circle_Diameter_m,Real_Depth_m,Relative_Depth_Raw,Pixel_Count,target_diameter
1,0.036409651,0.036003855,0.4038425216770982,0.7878737449645996,86443,0.04
10,0.045284678,0.044859355,0.9793810674011181,1.527715802192688,22817,0.04
11,0.018093660427791723,0.018124713377805933,0.075349477,0.3281116783618927,629271,0.04
12,0.029969042,0.029752012855499707,0.32736238157917075,0.7671533226966858,89832,0.04
13,-1.30197255,-0.968022523,-1.094611402,1.4112138748168945,8505638,0.04
14,-1.739529761,-1.080644814,-1.281985301,1.6851863861083984,7727798,0.04
15,-2.060816043,-1.106580196,-1.29731913,1.6684465408325195,7912761,0.04
16,-1.61097398,-1.014312105,-1.202413144,1.633913278579712,7739122,0.04
17,-1.36495032,-0.968165938,-1.130644006,1.5584582090377808,7974505,0.04
18,-1.335727728,-0.944085599,-1.14084919,1.6138300895690918,7447700,0.04
19,-1.439936295,-1.015102448,-1.229372378,1.6700716018676758,7414959,0.04
2,0.039160766464207124,0.038424652,0.39412341,0.7200985550880432,103374,0.04
20,-1.860805473,-1.059251276,-1.236219163,1.6217941045761108,7984780,0.04
21,-1.944819776,-1.180074328,-1.362272877,1.6755945682525635,8161057,0.04
22,-1.836368262,-1.045903739,-1.229261407,1.6338903903961182,7873192,0.04
23,-1.170523291,-0.757038416,-0.928008733,1.511953592300415,7237484,0.04
24,-1.213724452,-0.87801612,-1.083775835,1.6354851722717285,7138089,0.04
25,-1.625360688,-0.864771991,-1.055300086,1.601408601,7303099,0.04
26,0.041210751,0.040841105,0.6094805324711214,0.9381105899810791,48835,0.04
27,0.040620618313802793,0.039999544,0.2374420289827145,0.6951598525047302,308639,0.04
28,0.042111569,0.041293640122899024,0.41951000965251606,0.6952182054519653,105375,0.04
3,-1.350460662,-0.91368223,-1.103598582,1.6132915019989014,7454594,0.04
4,0.029081077878612884,0.029144177276070007,0.58989135,1.3737366199493408,26547,0.04
5,0.028947177,0.029017419707395777,0.586596986,1.3187099695205688,26613,0.04
6,0.032587156,0.03214874,0.499904462,1.1516435146331787,44979,0.04
7,0.031962936,0.031232963424196316,0.5435121492599062,1.234917163848877,35914,0.04
8,0.041848024804372656,0.041350662,0.5885453028703411,0.9226460456848145,53686,0.04
9,0.042849039,0.041799768982707784,0.6877993013260175,1.0119943618774414,40168,0.04
