id,ellipse_diameter,circle_diameter,real_depth,relative_depth,number_of_pixel,distance_to_center,target_diameter
1,0.03639510279983231,0.036218867451759354,0.46332868153547074,0.8591274,66458,0.23709237602818728,0.04
2,-1.356308584638028,-0.8458840852155599,-1.0555801142294379,1.6429881,6983855,0.445154700839327,0.04
3,-1.312374890616101,-0.9138171124614524,-1.1036865877376352,1.6132923,7455606,0.4230700379662097,0.04
4,0.04692630214725607,0.04702637152056274,0.3976574282903421,0.7561552,152097,0.44489045079351636,0.04
5,0.03838325539313714,0.03819848164434489,0.33539272776799917,0.7042852,141072,0.46895474754052036,0.04
6,0.03722154686820296,0.03728142261478408,0.400812974473269,0.84985644,94093,0.2339870666562076,0.04
7,0.03189574502305061,0.03196815666093598,0.44371287929493497,1.0125828,56453,0.1899406966029565,0.04
8,-1.4377763707206552,-0.8605062227239227,-1.0527045010022582,1.6061049,7266930,0.43256766904271626,0.04
9,0.03835776480746837,0.038214617176793794,0.4025296742887259,0.7458436,98021,0.263804473294443,0.04
10,0.0350305952783254,0.03504836307965289,0.1427929478268603,0.32592398,655206,0.33248306845964665,0.04
11,0.044821450818600485,0.044742906215315806,0.9575802955324066,1.5499516,23744,0.3015258804745834,0.04
12,-1.9103764567394843,-1.1085076246981647,-1.2992275407298646,1.6679348,7917040,0.39914591004679245,0.04
13,0.03470443828811447,0.03449589112251486,0.674872126321942,1.0302938,28415,0.23981133161763363,0.04
14,-1.7458958470951864,-1.0806210527021989,-1.2819743661528515,1.6851885,7727590,0.4091727454012611,0.04
15,-1.8776241521979515,-1.1064338693826676,-1.2972502150465566,1.6684564,7911509,0.39988238547248234,0.04
16,-1.5380235121220727,-1.0146622111786614,-1.2032046288964175,1.6339253,7734280,0.40745260929170685,0.04
17,-1.3642271799045467,-0.9668026910590931,-1.129301530137076,1.5584515,7970981,0.39761877595058165,0.04
18,-1.3182048509068511,-0.9440044133344201,-1.1408012505318998,1.6138284,7447045,0.4107741533039613,0.04
19,-1.4365699495089128,-1.0149385865633764,-1.229332020268536,1.670094,7413052,0.4108070613074833,0.04
20,-1.84419843217142,-1.0596339611753414,-1.236425714660422,1.6217949,7987881,0.39637650498407667,0.04
21,-1.931377538968654,-1.1809563504132494,-1.3627456608992063,1.6756163,8167591,0.3894614446476167,0.04
22,0.03162759123321466,0.03135444440592482,0.6517695730366414,1.297946,25169,0.17544698567423705,0.04
23,0.028872996160978437,0.02847550608472628,0.21841981068511668,0.5162046,184848,0.25031013035481026,0.04
24,0.039746157852586554,0.039079958798379014,0.498233918490394,0.8768321,66911,0.45770936302242293,0.04
25,0.0344556677275631,0.03378768280679006,0.5101148886017207,0.956097,47713,0.2125343664928331,0.04
26,-1.4609888783172151,-0.7203724632906432,-0.9126812419840539,1.5767736,6775352,0.4570828251613699,0.04
27,-1.5413328790121306,-1.0326950764911675,-1.2897993355195165,1.7771667,6971975,0.438573379470302,0.04
28,-1.3795539261833871,-0.9809799841556459,-1.19276463053228,1.6807599,7356423,0.42705947455708465,0.04
