id,ellipse_diameter,circle_diameter,real_depth,relative_depth,number_of_pixel,distance_to_center
1,-1.4855980110609726,-0.8352220278079128,-1.02934058748898,1.6032382,7160471,0.43684769586976624
2,-1.319194898213646,-0.8486545238253407,-1.0582726952371875,1.6430824,6993951,0.4444629635962126
3,0.01690347703876314,0.016563016988035598,0.461623460671863,1.0937515,14001,0.08054184587236995
4,0.035772473499468216,0.03578985011725777,0.599130745020379,0.89919066,38809,0.27285734944193074
5,0.025899643207129848,0.025963314344445217,0.4390206578400642,0.8176668,38037,0.18951823853231325
6,0.02764755678041082,0.02749932347077954,0.3886788457047362,0.7495395,54440,0.45831742576445844
7,0.025197322002404012,0.025242690161458862,0.316120661436415,0.65654504,69346,0.45069098961353443
8,-1.346426547790475,-0.8597851916309366,-1.052275828661613,1.6061062,7260669,0.43256766904271626
9,-1.5733589749919004,-0.8775797868757502,-1.0992490402705055,1.6811324,6931655,0.4496407510357138
10,-1.71528498761568,-1.0778482834536136,-1.35711255839135,1.8437946,6860242,0.45155098775332103
11,-1.8220676078079914,-1.158853169252602,-1.4281846390230877,1.8450559,7160511,0.4366947235789723
12,-1.9336039346876828,-1.1096444598071884,-1.3004650298352765,1.66793,7918196,0.39880003620462323
13,-1.2977162407812097,-0.9678634115732984,-1.094525425327288,1.4112126,8504178,0.3504545759004195
14,-1.7221631207262036,-1.0801770149498093,-1.281736476755278,1.6851919,7724107,0.4091727454012611
15,-1.8726844490818593,-1.105622134942206,-1.2968129548347846,1.6684517,7905233,0.39988238547248234
16,-1.5863149385952129,-1.0150966486231736,-1.2034369490403516,1.6339165,7737916,0.40745260929170685
17,-1.3476649780884131,-0.9673740375834964,-1.1302058638110872,1.5584577,7967639,0.3972730782066532
18,0.02805749675935206,0.027527219988090813,0.5865449283753612,0.8474161,23954,0.24250424353210243
19,0.006412682148345156,0.0074423972866826185,0.45910253453999567,0.69627005,2858,0.20840637517011285
20,0.020464636988829814,0.019536856314668425,0.5183276051582902,0.97852015,15451,0.12394760260823243
21,0.02186903545681078,0.02155332292662301,0.7313381321081591,1.3632421,9446,0.10602698494912238
22,-1.7045290642552802,-1.0448323288857835,-1.2286523101253617,1.6338601,7864862,0.4022604105635369
23,-1.215576449221233,-0.7572589705902775,-0.9281331081304863,1.5119367,7239761,0.42612408598758533
24,-1.222776277313383,-0.877908848469226,-1.0837099997880877,1.6354829,7137212,0.434494458757606
25,-1.601666702411832,-0.8646919619277218,-1.0552490979631748,1.6014042,7302453,0.4299253638332965
26,-1.417323119278515,-0.7220038016231038,-0.9141289386629116,1.576789,6784533,0.45674690585483185
27,-1.4048221618575076,-1.0326360698175783,-1.2897547747478795,1.777155,6971660,0.438573379470302
28,-1.38893610902634,-0.9815177905372409,-1.1930553193574918,1.6807414,7360903,0.42705947455708465
